Stash list for short evaluation tests (18 months runs to compare different configurations),,,,,,,,,,,
,,,,,,,,,,,
SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,STREAM,FILE
LARGE SCALE RAINFALL RATE KG/M2/S,4,203,m01s04i203,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
LARGE SCALE SNOWFALL RATE KG/M2/S,4,204,m01s04i204,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
CONVECTIVE RAINFALL RATE KG/M2/S,5,205,m01s05i205,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
CONVECTIVE SNOWFALL RATE KG/M2/S,5,206,m01s05i206,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
TOTAL PRECIPITATION RATE KG/M2/S,5,216,m01s05i216,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
RADAR REFLECTIVITY AT 1KM AGL (dBZ),4,112,m01s04i112,Instant.,3 hourly,T3HINST,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
,,,,,,,,,,,am3a.pa%Y%b.nc
NET DOWN SURFACE SW FLUX : CORRECTED,1,202,m01s01i202,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
INCOMING SW RAD FLUX (TOA): ALL TSS,1,207,m01s01i207,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
OUTGOING SW RAD FLUX (TOA),1,208,m01s01i208,mean,3 hourly,T3HMN,DIAG,UPA,2D Standard Diagnostics,pp0,am3a.pa%Y%b.nc
